Date,Year,Quarter,Company Name,Sector,Ticker,Close
2023-07-31 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,180.62059020996094
2023-08-07 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,176.45217895507812
2023-08-14 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,173.41087341308594
2023-08-21 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,177.50540161132812
2023-08-28 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,188.28831481933594
2023-09-04 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,177.0780487060547
2023-09-11 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,173.92764282226562
2023-09-18 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,173.70899963378906
2023-09-25 00:00:00-04:00,2023,Q3,Apple Inc.,Technology,AAPL,170.1511688232422
2023-10-02 00:00:00-04:00,2023,Q4,Apple Inc.,Technology,AAPL,176.392333984375
2023-10-09 00:00:00-04:00,2023,Q4,Apple Inc.,Technology,AAPL,177.74391174316406
2023-10-16 00:00:00-04:00,2023,Q4,Apple Inc.,Technology,AAPL,171.8108367919922
2023-10-23 00:00:00-04:00,2023,Q4,Apple Inc.,Technology,AAPL,167.17965698242188
2023-10-30 00:00:00-04:00,2023,Q4,Apple Inc.,Technology,AAPL,175.55751037597656
2023-11-06 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,185.24720764160156
2023-11-13 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,188.76522827148438
2023-11-20 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,189.04385375976562
2023-11-27 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,190.30767822265625
2023-12-04 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,194.75588989257812
2023-12-11 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,196.60684204101562
2023-12-18 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,192.6561737060547
2023-12-25 00:00:00-05:00,2023,Q4,Apple Inc.,Technology,AAPL,191.5913848876953
2024-01-01 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,180.2967071533203
2024-01-08 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,185.01361083984375
2024-01-15 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,190.62611389160156
2024-01-22 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,191.48191833496094
2024-01-29 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,184.9439697265625
2024-02-05 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,187.92933654785156
2024-02-12 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,181.65269470214844
2024-02-19 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,181.86195373535156
2024-02-26 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,179.0122833251953
2024-03-04 00:00:00-05:00,2024,Q1,Apple Inc.,Technology,AAPL,170.1144561767578
2024-03-11 00:00:00-04:00,2024,Q1,Apple Inc.,Technology,AAPL,171.99765014648438
2024-03-18 00:00:00-04:00,2024,Q1,Apple Inc.,Technology,AAPL,171.65887451171875
2024-03-25 00:00:00-04:00,2024,Q1,Apple Inc.,Technology,AAPL,170.86175537109375
2024-04-01 00:00:00-04:00,2024,Q2,Apple Inc.,Technology,AAPL,168.96861267089844
2024-04-08 00:00:00-04:00,2024,Q2,Apple Inc.,Technology,AAPL,175.91348266601562
2024-04-15 00:00:00-04:00,2024,Q2,Apple Inc.,Technology,AAPL,164.40512084960938
2024-04-22 00:00:00-04:00,2024,Q2,Apple Inc.,Technology,AAPL,168.6896209716797
2024-04-29 00:00:00-04:00,2024,Q2,Apple Inc.,Technology,AAPL,182.71884155273438
