Date,Company Name,Sector,Ticker,Total Revenue,Gross Profit,Operating Income,Net Income,Total Assets,Total Liabilities Net Minority Interest,Stockholders Equity,Total Non Current Liabilities Net Minority Interest,Current Liabilities,Total Non Current Assets,Current Assets,Cash And Cash Equivalents
2023-09-30,"Meta Platforms, Inc.",Technology,META,34146000000.0,27936000000.0,13748000000.0,11583000000.0,216274000000.0,73401000000.0,142873000000.0,42870000000.0,30531000000.0,137896000000.0,78378000000.0,36890000000.0
2024-09-30,Johnson & Johnson,Healthcare,JNJ,22471000000.0,15508000000.0,5278000000.0,2694000000.0,178287000000.0,108129000000.0,70158000000.0,56370000000.0,51759000000.0,125038000000.0,53249000000.0,19980000000.0
2024-06-30,Johnson & Johnson,Healthcare,JNJ,22447000000.0,15578000000.0,6657000000.0,4686000000.0,181088000000.0,109550000000.0,71538000000.0,55617000000.0,53933000000.0,123271000000.0,57817000000.0,24878000000.0
2024-03-31,Johnson & Johnson,Healthcare,JNJ,21383000000.0,14872000000.0,6273000000.0,3255000000.0,171966000000.0,101946000000.0,70020000000.0,53221000000.0,48725000000.0,114964000000.0,57002000000.0,25473000000.0
2023-12-31,Johnson & Johnson,Healthcare,JNJ,21395000000.0,14597000000.0,4607000000.0,4049000000.0,167558000000.0,98784000000.0,68774000000.0,52502000000.0,46282000000.0,114063000000.0,53495000000.0,21859000000.0
2023-09-30,Johnson & Johnson,Healthcare,JNJ,21351000000.0,14745000000.0,6198000000.0,26028000000.0,166061000000.0,94833000000.0,71228000000.0,50463000000.0,44370000000.0,112358000000.0,53703000000.0,19728000000.0
2024-09-30,Pfizer Inc.,Healthcare,PFE,17701000000.0,12438000000.0,5284000000.0,4465000000.0,219476000000.0,126918000000.0,92286000000.0,83707000000.0,43211000000.0,176254000000.0,43223000000.0,1092000000.0
2024-06-30,Pfizer Inc.,Healthcare,PFE,13283000000.0,9983000000.0,2263000000.0,41000000.0,216193000000.0,128218000000.0,87700000000.0,84399000000.0,43819000000.0,178367000000.0,37825000000.0,1052000000.0
2024-03-31,Pfizer Inc.,Healthcare,PFE,14878000000.0,11499000000.0,4203000000.0,3115000000.0,221095000000.0,128537000000.0,92282000000.0,88040000000.0,40497000000.0,178680000000.0,42415000000.0,719000000.0
2023-12-31,Pfizer Inc.,Healthcare,PFE,14249000000.0,6686000000.0,-1971000000.0,-3369000000.0,226501000000.0,137213000000.0,89014000000.0,89419000000.0,47794000000.0,183168000000.0,43333000000.0,2853000000.0
2023-09-30,Pfizer Inc.,Healthcare,PFE,13492000000.0,4223000000.0,-2948000000.0,-2382000000.0,215021000000.0,117817000000.0,96934000000.0,86681000000.0,31136000000.0,141009000000.0,74012000000.0,3148000000.0
2024-09-30,UnitedHealth Group Incorporated,Healthcare,UNH,99177000000.0,21386000000.0,7065000000.0,6055000000.0,299309000000.0,194854000000.0,94535000000.0,93289000000.0,101565000000.0,207051000000.0,92258000000.0,32400000000.0
2024-06-30,UnitedHealth Group Incorporated,Healthcare,UNH,97858000000.0,21060000000.0,6878000000.0,4216000000.0,286056000000.0,186822000000.0,89359000000.0,82152000000.0,104670000000.0,194018000000.0,92038000000.0,26286000000.0
2024-03-31,UnitedHealth Group Incorporated,Healthcare,UNH,98785000000.0,21994000000.0,6920000000.0,-1409000000.0,284210000000.0,187292000000.0,86688000000.0,82861000000.0,104431000000.0,195268000000.0,88942000000.0,28414000000.0
2023-12-31,UnitedHealth Group Incorporated,Healthcare,UNH,93248000000.0,20823000000.0,6510000000.0,5455000000.0,273720000000.0,174801000000.0,88756000000.0,75747000000.0,99054000000.0,195283000000.0,78437000000.0,25427000000.0
2023-09-30,UnitedHealth Group Incorporated,Healthcare,UNH,91364000000.0,22391000000.0,7529000000.0,5841000000.0,282063000000.0,188083000000.0,84494000000.0,73904000000.0,114179000000.0,190158000000.0,91905000000.0,38915000000.0
2024-09-30,"Merck & Co., Inc.",Healthcare,MRK,16657000000.0,12577000000.0,3984000000.0,3157000000.0,117532000000.0,72972000000.0,44502000000.0,43386000000.0,29586000000.0,77171000000.0,40361000000.0,14593000000.0
2024-06-30,"Merck & Co., Inc.",Healthcare,MRK,16112000000.0,12367000000.0,6128000000.0,5455000000.0,112630000000.0,68982000000.0,43582000000.0,42922000000.0,26060000000.0,74425000000.0,38205000000.0,11304000000.0
2024-03-31,"Merck & Co., Inc.",Healthcare,MRK,15775000000.0,12235000000.0,5760000000.0,4762000000.0,105849000000.0,65425000000.0,40364000000.0,40326000000.0,25099000000.0,74404000000.0,31445000000.0,5579000000.0
2023-12-31,"Merck & Co., Inc.",Healthcare,MRK,14630000000.0,10718000000.0,-1713000000.0,-1226000000.0,106675000000.0,69040000000.0,37581000000.0,43346000000.0,25694000000.0,74507000000.0,32168000000.0,6841000000.0
2023-09-30,"Merck & Co., Inc.",Healthcare,MRK,15962000000.0,11698000000.0,5872000000.0,4745000000.0,106727000000.0,65427000000.0,41246000000.0,42333000000.0,23094000000.0,74773000000.0,31954000000.0,8605000000.0
2024-09-30,AbbVie Inc.,Healthcare,ABBV,14460000000.0,10248000000.0,3913000000.0,1561000000.0,143422000000.0,137351000000.0,6032000000.0,94289000000.0,43062000000.0,115637000000.0,27785000000.0,7257000000.0
2024-06-30,AbbVie Inc.,Healthcare,ABBV,14462000000.0,10260000000.0,4935000000.0,1370000000.0,141937000000.0,135116000000.0,6778000000.0,93201000000.0,41915000000.0,108121000000.0,33816000000.0,13130000000.0
2024-03-31,AbbVie Inc.,Healthcare,ABBV,12310000000.0,8216000000.0,2962000000.0,1369000000.0,148874000000.0,140827000000.0,8007000000.0,99305000000.0,41522000000.0,110003000000.0,38871000000.0,18067000000.0
2023-12-31,AbbVie Inc.,Healthcare,ABBV,14301000000.0,8597000000.0,3195000000.0,822000000.0,134711000000.0,124314000000.0,10360000000.0,86473000000.0,37841000000.0,101709000000.0,33002000000.0,12814000000.0
2023-09-30,AbbVie Inc.,Healthcare,ABBV,13927000000.0,7442000000.0,2347000000.0,1778000000.0,136221000000.0,124092000000.0,12094000000.0,89319000000.0,34773000000.0,102997000000.0,33224000000.0,13287000000.0
2024-09-30,"Prologis,Inc.",Real Estate,PLD,2036389000.0,1547622000.0,784520000.0,1005719000.0,95905196000.0,38241104000.0,53071769000.0,35772225000.0,2468879000.0,94798338000.0,1106858000.0,780871000.0
2024-06-30,"Prologis,Inc.",Real Estate,PLD,2007954000.0,1492183000.0,736838000.0,861348000.0,93537418000.0,35614097000.0,53345060000.0,33476825000.0,2137272000.0,92423176000.0,1114242000.0,598347000.0
2024-03-31,"Prologis,Inc.",Real Estate,PLD,1956621000.0,1423553000.0,662513000.0,585715000.0,93310310000.0,35513192000.0,53190653000.0,32729441000.0,2783751000.0,92426928000.0,883382000.0,500589000.0
2023-12-31,"Prologis,Inc.",Real Estate,PLD,1889247000.0,1402164000.0,643841000.0,630936000.0,93020840000.0,35197120000.0,53181724000.0,31937751000.0,3259369000.0,91225861000.0,1794979000.0,530388000.0
2023-09-30,"Prologis,Inc.",Real Estate,PLD,1914664000.0,1414519000.0,663494000.0,747627000.0,91949409000.0,33688547000.0,53635831000.0,31754691000.0,1933856000.0,90410810000.0,1538599000.0,740841000.0
2024-09-30,American Tower Corporation,Real Estate,AMT,2522300000.0,1870500000.0,1139200000.0,-792300000.0,62816800000.0,52623900000.0,3641700000.0,45554400000.0,7069500000.0,59417200000.0,3399600000.0,2150300000.0
2024-06-30,American Tower Corporation,Real Estate,AMT,2900300000.0,2078400000.0,1284300000.0,900300000.0,65837800000.0,55414300000.0,3856000000.0,48525600000.0,6888700000.0,61723700000.0,4114100000.0,2492100000.0
2024-03-31,American Tower Corporation,Real Estate,AMT,2834100000.0,2045800000.0,1236600000.0,917400000.0,66679000000.0,56017300000.0,4047800000.0,49287500000.0,6729800000.0,62439300000.0,4239700000.0,2389100000.0
2023-12-31,American Tower Corporation,Real Estate,AMT,2786700000.0,1975300000.0,1146500000.0,84900000.0,66027600000.0,55162200000.0,4198200000.0,47912900000.0,7249300000.0,62317600000.0,3710000000.0,1973300000.0
2023-09-30,American Tower Corporation,Real Estate,AMT,2521100000.0,1883100000.0,913000000.0,586900000.0,65653000000.0,54418500000.0,4533300000.0,47549800000.0,6868700000.0,61803100000.0,3849900000.0,2118900000.0
2024-09-30,Welltower Inc.,Real Estate,WELL,2011056000.0,798355000.0,312482000.0,449849000.0,48953698000.0,17889695000.0,30334281000.0,16155983000.0,1733712000.0,41838800000.0,7114898000.0,3564942000.0
2024-06-30,Welltower Inc.,Real Estate,WELL,1792737000.0,681440000.0,238667000.0,254714000.0,45533937000.0,15845358000.0,28976426000.0,14329437000.0,1515921000.0,39357256000.0,6176681000.0,2776628000.0
2024-03-31,Welltower Inc.,Real Estate,WELL,1830590000.0,733677000.0,313482000.0,127146000.0,44553585000.0,16005677000.0,27547943000.0,14586465000.0,1419212000.0,39119321000.0,5434264000.0,2388488000.0
2023-12-31,Welltower Inc.,Real Estate,WELL,1717949000.0,681871000.0,254297000.0,83911000.0,44012166000.0,17640439000.0,25404376000.0,16540517000.0,1099922000.0,39119178000.0,4892988000.0,1993646000.0
2023-09-30,Welltower Inc.,Real Estate,WELL,1626535000.0,631262000.0,241783000.0,127470000.0,41654702000.0,17836083000.0,22954036000.0,16199353000.0,1636730000.0,36145651000.0,5509051000.0,2582037000.0
2024-09-30,"Digital Realty Trust, Inc.",Real Estate,DLR,1431214000.0,774853000.0,192480000.0,51193000.0,45295391000.0,22118780000.0,21246111000.0,17767299000.0,4351481000.0,41845326000.0,3450065000.0,2175605000.0
2024-06-30,"Digital Realty Trust, Inc.",Real Estate,DLR,1356749000.0,749473000.0,204264000.0,80220000.0,43606883000.0,21199178000.0,20537503000.0,16960508000.0,4238670000.0,40102418000.0,3504465000.0,2282062000.0
2024-03-31,"Digital Realty Trust, Inc.",Real Estate,DLR,1331143000.0,738354000.0,181206000.0,281508000.0,42633089000.0,21792866000.0,19019850000.0,17598190000.0,4194676000.0,39934965000.0,2698124000.0,1193784000.0
2023-12-31,"Digital Realty Trust, Inc.",Real Estate,DLR,1369639000.0,722483000.0,179630000.0,28310000.0,44113258000.0,23116937000.0,19117534000.0,18306810000.0,4810127000.0,40731150000.0,3382108000.0,1625495000.0
2023-09-30,"Digital Realty Trust, Inc.",Real Estate,DLR,1402432000.0,718320000.0,185691000.0,733618000.0,41932517000.0,21895635000.0,18190026000.0,17664230000.0,4231405000.0,39544742000.0,2387775000.0,1062050000.0
2024-09-30,"Equinix, Inc.",Real Estate,EQIX,2201000000.0,1103000000.0,432000000.0,297000000.0,35438000000.0,21826000000.0,13588000000.0,17456000000.0,4370000000.0,30383000000.0,5055000000.0,2776000000.0
2024-06-30,"Equinix, Inc.",Real Estate,EQIX,2159000000.0,1077000000.0,421000000.0,301000000.0,32854000000.0,20551000000.0,12278000000.0,17483000000.0,3068000000.0,29125000000.0,3729000000.0,1993000000.0
2024-03-31,"Equinix, Inc.",Real Estate,EQIX,2127000000.0,1036000000.0,366000000.0,231000000.0,31937000000.0,19613000000.0,12299000000.0,16722000000.0,2891000000.0,28770000000.0,3167000000.0,1527000000.0
2023-12-31,"Equinix, Inc.",Real Estate,EQIX,2110489000.0,1018713000.0,352261000.0,227568000.0,32650724000.0,20137225000.0,12488894000.0,16974975000.0,3162250000.0,29083027000.0,3567697000.0,2095712000.0
2023-09-30,"Equinix, Inc.",Real Estate,EQIX,2061000000.0,992000000.0,376000000.0,276000000.0,31684602000.0,19773043000.0,11886884000.0,17879352000.0,1893691000.0,27799222000.0,3885380000.0,2357497000.0
