ticker,date,year_quarter,close
AAPL,2023-07-31 00:00:00-04:00,2023-Q3,180.62059020996094
AAPL,2023-08-07 00:00:00-04:00,2023-Q3,176.45217895507812
AAPL,2023-08-14 00:00:00-04:00,2023-Q3,173.41090393066406
AAPL,2023-08-21 00:00:00-04:00,2023-Q3,177.50540161132812
AAPL,2023-08-28 00:00:00-04:00,2023-Q3,188.28829956054688
AAPL,2023-09-04 00:00:00-04:00,2023-Q3,177.0780487060547
AAPL,2023-09-11 00:00:00-04:00,2023-Q3,173.9276580810547
AAPL,2023-09-18 00:00:00-04:00,2023-Q3,173.70899963378906
AAPL,2023-09-25 00:00:00-04:00,2023-Q3,170.15115356445312
AAPL,2023-10-02 00:00:00-04:00,2023-Q4,176.39231872558594
AAPL,2023-10-09 00:00:00-04:00,2023-Q4,177.74392700195312
AAPL,2023-10-16 00:00:00-04:00,2023-Q4,171.8108367919922
AAPL,2023-10-23 00:00:00-04:00,2023-Q4,167.17965698242188
AAPL,2023-10-30 00:00:00-04:00,2023-Q4,175.55751037597656
AAPL,2023-11-06 00:00:00-05:00,2023-Q4,185.24720764160156
AAPL,2023-11-13 00:00:00-05:00,2023-Q4,188.76522827148438
AAPL,2023-11-20 00:00:00-05:00,2023-Q4,189.0438690185547
AAPL,2023-11-27 00:00:00-05:00,2023-Q4,190.3076934814453
AAPL,2023-12-04 00:00:00-05:00,2023-Q4,194.75588989257812
AAPL,2023-12-11 00:00:00-05:00,2023-Q4,196.60682678222656
AAPL,2023-12-18 00:00:00-05:00,2023-Q4,192.6561737060547
AAPL,2023-12-25 00:00:00-05:00,2023-Q4,191.5913848876953
AAPL,2024-01-01 00:00:00-05:00,2024-Q1,180.29669189453125
AAPL,2024-01-08 00:00:00-05:00,2024-Q1,185.01361083984375
AAPL,2024-01-15 00:00:00-05:00,2024-Q1,190.62611389160156
AAPL,2024-01-22 00:00:00-05:00,2024-Q1,191.48191833496094
AAPL,2024-01-29 00:00:00-05:00,2024-Q1,184.94395446777344
AAPL,2024-02-05 00:00:00-05:00,2024-Q1,187.92933654785156
AAPL,2024-02-12 00:00:00-05:00,2024-Q1,181.6527099609375
AAPL,2024-02-19 00:00:00-05:00,2024-Q1,181.86195373535156
AAPL,2024-02-26 00:00:00-05:00,2024-Q1,179.01226806640625
AAPL,2024-03-04 00:00:00-05:00,2024-Q1,170.11447143554688
AAPL,2024-03-11 00:00:00-04:00,2024-Q1,171.99765014648438
AAPL,2024-03-18 00:00:00-04:00,2024-Q1,171.6588592529297
AAPL,2024-03-25 00:00:00-04:00,2024-Q1,170.86175537109375
AAPL,2024-04-01 00:00:00-04:00,2024-Q2,168.96859741210938
AAPL,2024-04-08 00:00:00-04:00,2024-Q2,175.91348266601562
AAPL,2024-04-15 00:00:00-04:00,2024-Q2,164.40512084960938
AAPL,2024-04-22 00:00:00-04:00,2024-Q2,168.6896209716797
AAPL,2024-04-29 00:00:00-04:00,2024-Q2,182.71885681152344
AAPL,2024-05-06 00:00:00-04:00,2024-Q2,182.39002990722656
AAPL,2024-05-13 00:00:00-04:00,2024-Q2,189.4420623779297
AAPL,2024-05-20 00:00:00-04:00,2024-Q2,189.5518035888672
AAPL,2024-05-27 00:00:00-04:00,2024-Q2,191.8166961669922
AAPL,2024-06-03 00:00:00-04:00,2024-Q2,196.4462432861328
AAPL,2024-06-10 00:00:00-04:00,2024-Q2,212.01107788085938
AAPL,2024-06-17 00:00:00-04:00,2024-Q2,207.02235412597656
AAPL,2024-06-24 00:00:00-04:00,2024-Q2,210.14527893066406
AAPL,2024-07-01 00:00:00-04:00,2024-Q3,225.82984924316406
AAPL,2024-07-08 00:00:00-04:00,2024-Q3,230.0203857421875
AAPL,2024-07-15 00:00:00-04:00,2024-Q3,223.80442810058594
AAPL,2024-07-22 00:00:00-04:00,2024-Q3,217.46875
AAPL,2024-07-29 00:00:00-04:00,2024-Q3,219.3644561767578
AAPL,2024-08-05 00:00:00-04:00,2024-Q3,215.7526397705078
AAPL,2024-08-12 00:00:00-04:00,2024-Q3,225.54051208496094
AAPL,2024-08-19 00:00:00-04:00,2024-Q3,226.5906982421875
AAPL,2024-08-26 00:00:00-04:00,2024-Q3,228.7483367919922
AAPL,2024-09-02 00:00:00-04:00,2024-Q3,220.57733154296875
AAPL,2024-09-09 00:00:00-04:00,2024-Q3,222.25547790527344
AAPL,2024-09-16 00:00:00-04:00,2024-Q3,227.94920349121094
AAPL,2024-09-23 00:00:00-04:00,2024-Q3,227.53965759277344
MSFT,2023-07-31 00:00:00-04:00,2023-Q3,324.6506042480469
MSFT,2023-08-07 00:00:00-04:00,2023-Q3,317.9452819824219
MSFT,2023-08-14 00:00:00-04:00,2023-Q3,313.4585266113281
MSFT,2023-08-21 00:00:00-04:00,2023-Q3,320.5737609863281
MSFT,2023-08-28 00:00:00-04:00,2023-Q3,326.2114562988281
MSFT,2023-09-04 00:00:00-04:00,2023-Q3,331.7796630859375
MSFT,2023-09-11 00:00:00-04:00,2023-Q3,327.75982666015625
MSFT,2023-09-18 00:00:00-04:00,2023-Q3,314.6482238769531
MSFT,2023-09-25 00:00:00-04:00,2023-Q3,313.3976135253906
MSFT,2023-10-02 00:00:00-04:00,2023-Q4,324.8218688964844
MSFT,2023-10-09 00:00:00-04:00,2023-Q4,325.28839111328125
MSFT,2023-10-16 00:00:00-04:00,2023-Q4,324.2362976074219
MSFT,2023-10-23 00:00:00-04:00,2023-Q4,327.35284423828125
MSFT,2023-10-30 00:00:00-04:00,2023-Q4,350.17156982421875
MSFT,2023-11-06 00:00:00-05:00,2023-Q4,366.9158935546875
MSFT,2023-11-13 00:00:00-05:00,2023-Q4,367.0945739746094
MSFT,2023-11-20 00:00:00-05:00,2023-Q4,375.37841796875
MSFT,2023-11-27 00:00:00-05:00,2023-Q4,372.47430419921875
MSFT,2023-12-04 00:00:00-05:00,2023-Q4,372.1958312988281
MSFT,2023-12-11 00:00:00-05:00,2023-Q4,368.7148742675781
MSFT,2023-12-18 00:00:00-05:00,2023-Q4,372.5439147949219
MSFT,2023-12-25 00:00:00-05:00,2023-Q4,373.9959716796875
MSFT,2024-01-01 00:00:00-05:00,2024-Q1,365.75103759765625
MSFT,2024-01-08 00:00:00-05:00,2024-Q1,386.3584289550781
MSFT,2024-01-15 00:00:00-05:00,2024-Q1,396.50299072265625
MSFT,2024-01-22 00:00:00-05:00,2024-Q1,401.734375
MSFT,2024-01-29 00:00:00-05:00,2024-Q1,408.9847717285156
MSFT,2024-02-05 00:00:00-05:00,2024-Q1,418.2640380859375
MSFT,2024-02-12 00:00:00-05:00,2024-Q1,401.86370849609375
MSFT,2024-02-19 00:00:00-05:00,2024-Q1,408.8642578125
MSFT,2024-02-26 00:00:00-05:00,2024-Q1,414.00567626953125
MSFT,2024-03-04 00:00:00-05:00,2024-Q1,404.7590637207031
MSFT,2024-03-11 00:00:00-04:00,2024-Q1,414.9223937988281
MSFT,2024-03-18 00:00:00-04:00,2024-Q1,427.19805908203125
MSFT,2024-03-25 00:00:00-04:00,2024-Q1,419.2069091796875
MSFT,2024-04-01 00:00:00-04:00,2024-Q2,423.9896545410156
MSFT,2024-04-08 00:00:00-04:00,2024-Q2,420.3826904296875
MSFT,2024-04-15 00:00:00-04:00,2024-Q2,397.6846008300781
MSFT,2024-04-22 00:00:00-04:00,2024-Q2,404.8587341308594
MSFT,2024-04-29 00:00:00-04:00,2024-Q2,405.1974792480469
MSFT,2024-05-06 00:00:00-04:00,2024-Q2,413.2484130859375
MSFT,2024-05-13 00:00:00-04:00,2024-Q2,418.69873046875
MSFT,2024-05-20 00:00:00-04:00,2024-Q2,429.3860778808594
MSFT,2024-05-27 00:00:00-04:00,2024-Q2,414.38311767578125
MSFT,2024-06-03 00:00:00-04:00,2024-Q2,423.0874328613281
MSFT,2024-06-10 00:00:00-04:00,2024-Q2,441.77374267578125
MSFT,2024-06-17 00:00:00-04:00,2024-Q2,448.97076416015625
MSFT,2024-06-24 00:00:00-04:00,2024-Q2,446.1458740234375
MSFT,2024-07-01 00:00:00-04:00,2024-Q3,466.7187805175781
MSFT,2024-07-08 00:00:00-04:00,2024-Q3,452.7339782714844
MSFT,2024-07-15 00:00:00-04:00,2024-Q3,436.32354736328125
MSFT,2024-07-22 00:00:00-04:00,2024-Q3,424.5048522949219
MSFT,2024-07-29 00:00:00-04:00,2024-Q3,407.7550354003906
MSFT,2024-08-05 00:00:00-04:00,2024-Q3,405.28948974609375
MSFT,2024-08-12 00:00:00-04:00,2024-Q3,417.71710205078125
MSFT,2024-08-19 00:00:00-04:00,2024-Q3,416.7900085449219
MSFT,2024-08-26 00:00:00-04:00,2024-Q3,417.1400146484375
MSFT,2024-09-02 00:00:00-04:00,2024-Q3,401.70001220703125
MSFT,2024-09-09 00:00:00-04:00,2024-Q3,430.5899963378906
MSFT,2024-09-16 00:00:00-04:00,2024-Q3,435.2699890136719
MSFT,2024-09-23 00:00:00-04:00,2024-Q3,428.0199890136719
GOOGL,2023-07-31 00:00:00-04:00,2023-Q3,127.79356384277344
GOOGL,2023-08-07 00:00:00-04:00,2023-Q3,129.23997497558594
GOOGL,2023-08-14 00:00:00-04:00,2023-Q3,127.14517211914062
GOOGL,2023-08-21 00:00:00-04:00,2023-Q3,129.55918884277344
GOOGL,2023-08-28 00:00:00-04:00,2023-Q3,135.32492065429688
GOOGL,2023-09-04 00:00:00-04:00,2023-Q3,136.0431365966797
GOOGL,2023-09-11 00:00:00-04:00,2023-Q3,137.06060791015625
GOOGL,2023-09-18 00:00:00-04:00,2023-Q3,129.9282684326172
GOOGL,2023-09-25 00:00:00-04:00,2023-Q3,130.53677368164062
GOOGL,2023-10-02 00:00:00-04:00,2023-Q4,137.2401580810547
GOOGL,2023-10-09 00:00:00-04:00,2023-Q4,137.02072143554688
GOOGL,2023-10-16 00:00:00-04:00,2023-Q4,135.2650604248047
GOOGL,2023-10-23 00:00:00-04:00,2023-Q4,121.86823272705078
GOOGL,2023-10-30 00:00:00-04:00,2023-Q4,128.7811279296875
GOOGL,2023-11-06 00:00:00-05:00,2023-Q4,132.2624969482422
GOOGL,2023-11-13 00:00:00-05:00,2023-Q4,134.9757843017578
GOOGL,2023-11-20 00:00:00-05:00,2023-Q4,136.3523712158203
GOOGL,2023-11-27 00:00:00-05:00,2023-Q4,131.5343017578125
